; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1745,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,215.3134036,0,0,0,0,9.167156702,0,0,0.007723273,0,0
1746,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,210.5731552,0,0,0,0,9.167156702,0,0,0.007723273,0,0
1747,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,215.2600435,0,0,0,0,9.167156702,0,0,0.007723273,0,0
1748,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,216.0516037,0,0,0,0,9.167156702,0,0,0.007723273,0,0
1749,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,217.1005197,0,0,0,0,9.167156702,0,0,0.007723273,0,0
1750,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,216.4027214,0,0,0,0,9.270397049,0,0,0.007723273,0,0
1751,0.024856862,0,0,0,0,0,105.1072,0,4276.7685,216.8096621,0,0,0,0,9.274318392,-2.29E-04,0.185756746,0.007723273,0,0
1752,0.024856862,0,0,0,0,0,105.12502,0,4277.7049,218.8709173,0,0,0,0,9.272653078,-4.59E-04,0.185760472,0.007723273,0,0
1753,0.024856862,0,0,0,0,0,105.10373,0,4276.586,217.8993523,0,0,0,0,9.261435852,-6.88E-04,0.185761717,0.007723273,0,0
1754,0.024856862,0,0,0,0,0,105.07356,0,4274.9998,217.04178,0,0,0,0,9.266012246,-9.18E-04,0.185762136,0.007723273,0,0
1755,0.024856862,0,0,0,0,0,105.09182,0,4275.9598,217.36804,0,0,0,0,9.275955429,-0.001147286,0.16149051,0.007723273,0,0
1756,0.024856862,0,0,0,0,0,105.08556,0,4275.6306,217.976863,0,0,0,0,9.254976719,-0.001376744,-0.064139904,0.007723273,0,0
1757,0.024856862,0,0,0,0,0,105.09137,0,4275.9361,217.0006401,0,0,0,0,9.259743511,-0.001606201,0.06548149,0.007723273,0,0
1758,0.024856862,0,0,0,0,0,105.09662,0,4276.2118,216.9314398,0,0,0,0,9.264450737,-0.001835658,0.143706674,0.007723273,0,0
1759,0.024856862,0,0,0,0,0,105.08372,0,4275.5338,215.5211521,0,0,0,0,9.259850591,-0.002065115,0.171560264,0.007723273,0,0
1760,0.024856862,0,0,0,0,0,105.04022,0,4273.2473,213.6963405,0,0,0,0,9.259184443,-0.002294573,0.180988301,0.007723273,0,0
1761,0.024856862,0,0,0,0,0,105.09143,0,4275.9395,216.2778844,0,0,0,0,9.271157473,-0.00252403,0.184158544,0.007723273,0,0
1762,0.024856862,0,0,0,0,0,105.08127,0,4275.4052,217.0455356,0,0,0,0,9.268406054,-0.002753487,-0.719878886,0.007723273,0,0
1763,0.024856862,0,0,0,0,0,105.09332,0,4276.0386,218.1765105,0,0,0,0,9.282530686,-0.002982944,-0.439960121,0.007723273,0,0
1764,0.024856862,0,0,0,0,0,105.1104,0,4276.9364,219.2737208,0,0,0,0,9.265096718,-0.003212402,-0.039047325,0.007723273,0,0
1765,0.024856862,0,0,0,0,0,105.07293,0,4274.9668,218.361232,0,0,0,0,9.271685979,-0.003441859,0.109581666,0.007723273,0,0
1766,0.024856862,0,0,0,0,0,105.07758,0,4275.2111,218.8290847,0,0,0,0,9.272711515,-0.003671316,-0.178487527,0.007723273,0,0
1767,0.024856862,0,0,0,0,0,105.08566,0,4275.6359,219.0993393,0,0,0,0,9.249633424,-0.003900773,-0.230039677,0.007723273,0,0
