; historical from hector_ceds CMIP7 release (CEDS v2025_03_18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; commit 59a4b009229a84e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; there should be no emissions after emissions-switch-year otherwise hector will get a mix of these input emissions and gcam's emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; date Thu Mar 27 12:03:55 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; UNITS:, Tg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Tg CO, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, NA, Gg, Tg N, Tg, Tg NMVOC, Tg N, Tg, W/m2, Gg, Gg S, W/m2, Pg C/yr, Pg C/yr, Gg, Gg, Gg, Pg C/yr, Pg C/yr
Date,BC_emissions,C2F6_emissions,CCl4_emissions,CF4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4_emissions,CO_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,HFC365_emissions,HFC4310_emissions,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,RF_albedo,SF6_emissions,SO2_emissions,SV,daccs_uptake,ffi_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,luc_emissions,luc_uptake
1745,2.117664332,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,26.9731522,348.4069933,0,0,0,0,0,0,0,0,0,0,0,0,0.647022492,6.746898436,60.84924986,3.873964292,16.00014167,0,0,1175.241177,0.185745674,0,0.002382157,0.007723273,0,0,0.081175867,0
1746,2.117664332,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,26.9731522,348.4069933,0,0,0,0,0,0,0,0,0,0,0,0,0.647022492,6.746898436,60.84924986,3.873964292,16.00014167,0,0,1175.241177,0.185745674,0,0.002382157,0.007723273,0,0,0.081175867,0
1747,2.117664332,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,26.9731522,348.4069933,0,0,0,0,0,0,0,0,0,0,0,0,0.647022492,6.746898436,60.84924986,3.873964292,16.00014167,0,0,1175.241177,0.185745674,0,0.002382157,0.007723273,0,0,0.081175867,0
1748,2.117664332,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,26.9731522,348.4069933,0,0,0,0,0,0,0,0,0,0,0,0,0.647022492,6.746898436,60.84924986,3.873964292,16.00014167,0,0,1175.241177,0.185745674,0,0.002382157,0.007723273,0,0,0.081175867,0
1749,2.117664332,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,26.9731522,348.4069933,0,0,0,0,0,0,0,0,0,0,0,0,0.647022492,6.746898436,60.84924986,3.873964292,16.00014167,0,0,1175.241177,0.185745674,0,0.002382157,0.007723273,0,0,0.081175867,0
1750,2.117664332,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,26.9731522,348.4069933,0,0,0,0,0,0,0,0,0,0,0,0,0.647022492,6.746898436,60.84924986,3.873964292,16.00014167,0,0,1175.241177,0.185745674,0,0.002382157,0.007723273,0,0,0.081175867,0
1751,2.093305672,0,0.024856862,0.010071225,0,0,0,0,0,105.1072,0,4276.7685,26.80575461,343.8054221,0,0,0,0,0,0,0,0,0,0,0,0,0.639795307,6.678517827,59.91834937,3.830448434,15.74282774,-2.29E-04,0,1158.148445,0.185756746,0,0.002382157,0.007723273,0,0,0.08266927,0
1752,2.08517765,0,0.024856862,0.010071225,0,0,0,0,0,105.12502,0,4277.7049,26.71610421,341.6875487,0,0,0,0,0,0,0,0,0,0,0,0,0.636643224,6.637026408,59.46503187,3.831041272,15.59021722,-4.59E-04,0,1151.653139,0.185760472,0,0.002383091,0.007723273,0,0,0.084190146,0
1753,2.093301567,0,0.024856862,0.010071225,0,0,0,0,0,105.10373,0,4276.586,26.88191779,343.5533818,0,0,0,0,0,0,0,0,0,0,0,0,0.639068222,6.698151022,59.86218173,3.814456881,15.73990734,-6.88E-04,0,1157.732986,0.185761717,0,0.002383091,0.007723273,0,0,0.085739002,0
1754,2.121186237,0,0.024856862,0.010071225,0,0,0,0,0,105.07356,0,4274.9998,27.20217871,349.6930532,0,0,0,0,0,0,0,0,0,0,0,0,0.651028741,6.831072196,61.10859801,3.843988355,16.11775042,-9.18E-04,0,1182.673599,0.185762136,0,0.002384024,0.007723273,0,0,0.087316353,0
1755,2.121494522,0,0.024856862,0.010071225,0,0,0,0,0,105.09182,0,4275.9598,27.12452953,348.0215783,0,0,0,0,0,0,0,0,0,0,0,0,0.647222739,6.759042637,60.66640297,3.883304139,15.91876628,-0.001147286,0,1172.60812,0.16149051,0,0.002384958,0.007723273,0,0,0.088922722,0
1756,2.091691897,0,0.024856862,0.010071225,0,0,0,0,0,105.08556,0,4275.6306,27.01950749,343.1969379,0,0,0,0,0,0,0,0,0,0,0,0,0.638059179,6.736931182,59.7913155,3.776793033,15.75791806,-0.001376744,0,1159.565283,-0.064139904,0,0.002549244,0.007723273,0,0,0.090558644,0
1757,2.171183681,0,0.024856862,0.010071225,0,0,0,0,0,105.09137,0,4275.9361,27.5081579,355.8150738,0,0,0,0,0,0,0,0,0,0,0,0,0.659764435,6.861063912,62.11097864,3.995076478,16.26854817,-0.001606201,0,1202.991975,0.06548149,0,0.002550178,0.007723273,0,0,0.092224663,0
1758,2.144354822,0,0.024856862,0.010071225,0,0,0,0,0,105.09662,0,4276.2118,27.34458311,351.7123692,0,0,0,0,0,0,0,0,0,0,0,0,0.655768374,6.808020975,61.28470646,3.948243213,16.07992124,-0.001835658,0,1190.598472,0.143706674,0,0.002551111,0.007723273,0,0,0.093921331,0
1759,2.141494092,0,0.024856862,0.010071225,0,0,0,0,0,105.08372,0,4275.5338,27.47629477,351.3798572,0,0,0,0,0,0,0,0,0,0,0,0,0.651831787,6.857692088,61.29817278,3.879187435,16.14089641,-0.002065115,0,1186.126508,0.171560264,0,0.002552045,0.007723273,0,0,0.095649213,0
1760,2.152513558,0,0.024856862,0.010071225,0,0,0,0,0,105.04022,0,4273.2473,27.67411897,354.2898381,0,0,0,0,0,0,0,0,0,0,0,0,0.657186594,6.93895458,61.90744272,3.867048707,16.38751129,-0.002294573,0,1198.855601,0.180988301,0,0.002552045,0.007723273,0,0,0.097408883,0
1761,2.163015306,0,0.024856862,0.010071225,0,0,0,0,0,105.09143,0,4275.9395,27.63823137,354.575132,0,0,0,0,0,0,0,0,0,0,0,0,0.658614094,6.890948389,61.8429543,3.94440501,16.26204516,-0.00252403,0,1203.667018,0.184158544,0,0.002795674,0.007723273,0,0,0.099200926,0
1762,2.127597498,0,0.024856862,0.010071225,0,0,0,0,0,105.08127,0,4275.4052,27.55173731,349.1162511,0,0,0,0,0,0,8.32E-08,0,0,1.51E-06,0,0,0.647424105,6.88160418,60.88850292,3.802220087,16.09779467,-0.002753487,0,1182.893667,-0.719878886,0,0.002796608,0.007723273,0,0,0.101025937,0
1763,2.133469739,0,0.024856862,0.010071225,0,0,0,0,0,105.09332,0,4276.0386,27.56122955,349.9252906,0,0,0,0,0,0,6.68E-07,0,0,1.24E-05,0,0,0.650933293,6.876118496,60.99116883,3.842757037,16.10034374,-0.002982944,0,1188.799093,-0.439960121,0,0.002797541,0.007723273,0,0,0.102884523,0
