# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Africa_Eastern,Beef,2015,2.63991
3C,Africa_Eastern,Beef,2020,3.16847
3C,Africa_Eastern,Beef,2025,3.78678
3C,Africa_Eastern,Corn,2015,34.44
3C,Africa_Eastern,Corn,2020,39.0892
3C,Africa_Eastern,Corn,2025,43.3285
3C,Africa_Eastern,Dairy,2015,9.31866
3C,Africa_Eastern,Dairy,2020,11.0703
3C,Africa_Eastern,Dairy,2025,13.0813
3C,Africa_Eastern,FiberCrop,2015,0.194868
3C,Africa_Eastern,FiberCrop,2020,0.230652
3C,Africa_Eastern,FiberCrop,2025,0.272163
3C,Africa_Eastern,Fruits,2015,7.17402
3C,Africa_Eastern,Fruits,2020,8.51168
3C,Africa_Eastern,Fruits,2025,10.0202
3C,Africa_Eastern,Legumes,2015,14.4568
3C,Africa_Eastern,Legumes,2020,17.2242
3C,Africa_Eastern,Legumes,2025,20.3962
3C,Africa_Eastern,MiscCrop,2015,0.932329
3C,Africa_Eastern,MiscCrop,2020,1.10605
3C,Africa_Eastern,MiscCrop,2025,1.30295
3C,Africa_Eastern,NutsSeeds,2015,3.83925
3C,Africa_Eastern,NutsSeeds,2020,4.58961
3C,Africa_Eastern,NutsSeeds,2025,5.48026
3C,Africa_Eastern,OilCrop,2015,4.45701
3C,Africa_Eastern,OilCrop,2020,5.33224
3C,Africa_Eastern,OilCrop,2025,6.36505
3C,Africa_Eastern,OilPalm,2015,5.32338
3C,Africa_Eastern,OilPalm,2020,6.33105
3C,Africa_Eastern,OilPalm,2025,7.49186
3C,Africa_Eastern,OtherGrain,2015,40.2973
3C,Africa_Eastern,OtherGrain,2020,45.6951
3C,Africa_Eastern,OtherGrain,2025,50.4692
3C,Africa_Eastern,OtherMeat_Fish,2015,2.31194
3C,Africa_Eastern,OtherMeat_Fish,2020,2.74324
3C,Africa_Eastern,OtherMeat_Fish,2025,3.22971
3C,Africa_Eastern,Pork,2015,0.366261
3C,Africa_Eastern,Pork,2020,0.437546
3C,Africa_Eastern,Pork,2025,0.518343
3C,Africa_Eastern,Poultry,2015,0.711122
3C,Africa_Eastern,Poultry,2020,0.851849
3C,Africa_Eastern,Poultry,2025,1.01127
3C,Africa_Eastern,Rice,2015,14.3193
3C,Africa_Eastern,Rice,2020,16.2557
3C,Africa_Eastern,Rice,2025,17.9824
3C,Africa_Eastern,RootTuber,2015,18.9705
3C,Africa_Eastern,RootTuber,2020,21.5673
3C,Africa_Eastern,RootTuber,2025,23.8126
3C,Africa_Eastern,SheepGoat,2015,1.12521
3C,Africa_Eastern,SheepGoat,2020,1.33322
3C,Africa_Eastern,SheepGoat,2025,1.56853
3C,Africa_Eastern,Soybean,2015,0.717121
3C,Africa_Eastern,Soybean,2020,0.855199
3C,Africa_Eastern,Soybean,2025,1.01652
3C,Africa_Eastern,SugarCrop,2015,13.4468
3C,Africa_Eastern,SugarCrop,2020,15.917
3C,Africa_Eastern,SugarCrop,2025,18.7406
3C,Africa_Eastern,Vegetables,2015,2.55918
3C,Africa_Eastern,Vegetables,2020,3.03669
3C,Africa_Eastern,Vegetables,2025,3.57513
3C,Africa_Eastern,Wheat,2015,26.4055
3C,Africa_Eastern,Wheat,2020,30.1824
3C,Africa_Eastern,Wheat,2025,33.518
3C,Africa_Northern,Beef,2015,2.00074
3C,Africa_Northern,Beef,2020,2.31374
3C,Africa_Northern,Beef,2025,2.72695
3C,Africa_Northern,Corn,2015,18.8386
3C,Africa_Northern,Corn,2020,20.3917
3C,Africa_Northern,Corn,2025,21.541
3C,Africa_Northern,Dairy,2015,8.02512
3C,Africa_Northern,Dairy,2020,9.26487
3C,Africa_Northern,Dairy,2025,10.9228
3C,Africa_Northern,FiberCrop,2015,0.0037612
3C,Africa_Northern,FiberCrop,2020,0.00432341
3C,Africa_Northern,FiberCrop,2025,0.00506627
3C,Africa_Northern,Fruits,2015,7.96883
3C,Africa_Northern,Fruits,2020,9.19025
3C,Africa_Northern,Fruits,2025,10.7998
3C,Africa_Northern,Legumes,2015,2.62068
3C,Africa_Northern,Legumes,2020,3.03259
3C,Africa_Northern,Legumes,2025,3.57243
3C,Africa_Northern,MiscCrop,2015,0.695943
3C,Africa_Northern,MiscCrop,2020,0.806659
3C,Africa_Northern,MiscCrop,2025,0.950568
3C,Africa_Northern,NutsSeeds,2015,1.51363
3C,Africa_Northern,NutsSeeds,2020,1.7415
3C,Africa_Northern,NutsSeeds,2025,2.04478
3C,Africa_Northern,OilCrop,2015,4.8888
3C,Africa_Northern,OilCrop,2020,5.62412
3C,Africa_Northern,OilCrop,2025,6.60763
3C,Africa_Northern,OilPalm,2015,0.34605
3C,Africa_Northern,OilPalm,2020,0.400442
3C,Africa_Northern,OilPalm,2025,0.472282
3C,Africa_Northern,OtherGrain,2015,4.33275
3C,Africa_Northern,OtherGrain,2020,4.69462
3C,Africa_Northern,OtherGrain,2025,4.9576
3C,Africa_Northern,OtherMeat_Fish,2015,2.55219
3C,Africa_Northern,OtherMeat_Fish,2020,2.95493
3C,Africa_Northern,OtherMeat_Fish,2025,3.48575
3C,Africa_Northern,Pork,2015,0.0033926
3C,Africa_Northern,Pork,2020,0.00393839
3C,Africa_Northern,Pork,2025,0.00465192
3C,Africa_Northern,Poultry,2015,3.56802
3C,Africa_Northern,Poultry,2020,4.13361
3C,Africa_Northern,Poultry,2025,4.90066
3C,Africa_Northern,Rice,2015,9.63055
3C,Africa_Northern,Rice,2020,10.3367
3C,Africa_Northern,Rice,2025,10.8768
3C,Africa_Northern,RootTuber,2015,3.76582
3C,Africa_Northern,RootTuber,2020,4.06812
3C,Africa_Northern,RootTuber,2025,4.28741
3C,Africa_Northern,SheepGoat,2015,1.03669
3C,Africa_Northern,SheepGoat,2020,1.19937
3C,Africa_Northern,SheepGoat,2025,1.41447
3C,Africa_Northern,Soybean,2015,7.23523
3C,Africa_Northern,Soybean,2020,8.38067
3C,Africa_Northern,Soybean,2025,9.91703
3C,Africa_Northern,SugarCrop,2015,10.8485
3C,Africa_Northern,SugarCrop,2020,12.5149
3C,Africa_Northern,SugarCrop,2025,14.7441
3C,Africa_Northern,Vegetables,2015,5.39308
3C,Africa_Northern,Vegetables,2020,6.23342
3C,Africa_Northern,Vegetables,2025,7.33308
3C,Africa_Northern,Wheat,2015,60.1136
3C,Africa_Northern,Wheat,2020,65.4593
3C,Africa_Northern,Wheat,2025,69.4858
3C,Africa_Southern,Beef,2015,2.23095
3C,Africa_Southern,Beef,2020,2.43887
3C,Africa_Southern,Beef,2025,2.88008
3C,Africa_Southern,Corn,2015,32.4081
3C,Africa_Southern,Corn,2020,38.3581
3C,Africa_Southern,Corn,2025,43.153
3C,Africa_Southern,Dairy,2015,2.29034
3C,Africa_Southern,Dairy,2020,2.49784
3C,Africa_Southern,Dairy,2025,2.9452
3C,Africa_Southern,FiberCrop,2015,0.391688
