# File: GCAMFAOSTAT_metadata.csv
# Title: Information of dataset exported by gcamfaostat
# Units: NA
# Description:  Data is preprocessed and generated by gcamfaostat
# Data source: FAOSTAT (main domain:NA FAO.udpate:)
# Date of CSV last update: 2024-10-15
# Column types: ciic
# ----------
dataset,nReg,nItem,Years
GCAMFAOSTAT_BiTrade,194,533,2010 to 2022
GCAMFAOSTAT_SUA,195,529,2010 to 2022
GCAMFAOSTAT_FBSH_CB,173,118,BaseYears
GCAMFAOSTAT_NonFodderProdArea,195,272,BaseYears
GCAMFAOSTAT_FodderProdArea,96,16,BaseYears
GCAMFAOSTAT_AnimalStock,202,22,BaseYears
GCAMFAOSTAT_ProdPrice,172,180,BaseYears
FAO_GDP_Deflators,201,1,BaseYears
GCAMFAOSTAT_MacroNutrientRate,188,432,BaseYears
GCAMFAOSTAT_ForProdTrade,185,4,BaseYears
GCAMFAOSTAT_ForExpPrice,183,4,BaseYears
GCAMFAOSTAT_LandCover,229,3,BaseYears
GCAMFAOSTAT_NFertilizer,212,1,BaseYears
