# File:Corine_LT_km2.csv
# Title: Corine_LT
# Year 2010: TBD how to extrapolate to 2015
# Units: km2
# Original source: https://land.copernicus.eu/pan-european/corine-land-cover
# Description: Land cover from Corine in 2010 per country and GLU
# Column types: ccciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
country,iso,glu_code,Agro-forestry areas,Airports,Annual crops associated with permanent crops,Bare rocks,"Beaches, dunes, sands",Broad-leaved forest,Burnt areas,Coastal lagoons,Complex cultivation patterns,Coniferous forest,Construction sites,Continuous urban fabric,Discontinuous urban fabric,Dump sites,Estuaries,Fruit trees and berry plantations,Glaciers and perpetual snow,Green urban areas,Industrial or commercial units,Inland marshes,Peat bogs,Intertidal flats,"Land principally occupied by agriculture, with significant areas of natural vegetation",Mineral extraction sites,Mixed forest,Moors and heathland,Natural grasslands,Non-irrigated arable land,Olive groves,Pastures,Permanently irrigated land,Port areas,Rice fields,Road and rail networks and associated land,Salines,Salt marshes,Sclerophyllous vegetation,Sea and ocean,Sparsely vegetated areas,Sport and leisure facilities,Transitional woodland-shrub,Vineyards,Water bodies
Austria,aut,GLU031,0,0,0,0,0,1,0,0,110,369,0,1,50,0,0,0,0,0,1,0,0,0,64,1,8,0,0,154,0,62,0,0,0,0,0,0,0,0,0,4,1,0,2
Austria,aut,GLU032,0,0,0,35,0,91,0,0,19,417,0,1,158,0,0,0,1,0,5,28,2,0,29,1,402,79,504,38,0,249,0,0,0,1,0,0,0,0,147,8,2,0,58
Austria,aut,GLU050,0,0,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Austria,aut,GLU054,1,31,0,2135,0,4387,0,0,3798,21971,4,104,3681,5,0,5,334,50,284,178,16,0,2591,92,10073,2219,5340,11905,0,6813,0,3,0,47,0,0,0,0,2844,250,219,680,454
Austria,aut,GLU057,0,0,0,55,0,0,0,0,0,19,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,6,34,0,0,5,0,0,0,0,0,0,0,0,75,1,0,0,2
Belgium,bel,GLU032,0,16,0,0,0,1583,0,0,2185,1117,4,5,1718,4,0,12,0,5,132,17,49,0,820,39,2382,63,6,2395,0,2179,0,1,0,26,0,0,0,0,0,63,125,0,27
Belgium,bel,GLU036,0,35,0,0,13,478,0,0,3201,272,15,49,3369,9,1,73,0,45,411,14,0,10,1137,35,301,92,2,4147,0,1430,0,64,0,80,0,5,0,0,0,147,53,0,76
Bulgaria,bgr,GLU054,0,28,0,56,4,8861,4,0,1297,611,4,8,2142,4,0,221,0,21,415,74,14,0,4649,88,1786,80,991,21250,0,2319,0,4,2,19,0,0,0,0,193,38,2643,341,195
Bulgaria,bgr,GLU055,0,32,0,84,22,13088,0,8,1542,5462,9,1,2105,31,0,344,0,25,409,42,0,0,6889,285,5102,204,3200,14416,0,2062,6,5,220,27,9,0,1,33,221,89,5330,1040,517
Switzerland,che,GLU032,0,27,0,1785,6,392,0,0,184,4090,5,27,1871,0,0,10,487,4,165,35,0,0,188,19,4120,527,2932,5888,0,3383,0,1,0,10,0,0,0,0,1045,34,228,30,765
Switzerland,che,GLU054,0,2,0,515,3,4,0,0,1,355,0,0,13,0,0,0,62,0,0,0,0,0,3,0,23,126,430,18,0,97,0,0,0,0,0,0,0,0,386,1,1,0,11
Switzerland,che,GLU057,0,2,0,508,3,746,0,0,27,509,1,5,174,0,0,0,122,4,17,1,0,0,28,1,240,301,516,33,0,76,0,0,0,1,0,0,0,0,379,3,55,3,100
Switzerland,che,GLU062,0,4,0,1194,6,148,0,0,71,977,1,14,416,0,0,57,652,6,56,3,0,0,147,2,501,211,903,696,0,380,0,0,0,2,0,0,0,0,478,16,43,67,25
Czech Republic,cze,GLU029,0,5,0,2,0,179,0,0,66,1368,2,1,473,19,0,4,0,10,85,3,1,0,789,6,770,9,42,1233,0,919,0,0,0,10,0,0,0,0,0,17,223,0,44
Czech Republic,cze,GLU031,0,38,0,1,0,1235,0,0,175,10377,15,12,2313,66,0,221,0,54,388,52,45,0,4755,144,3628,11,203,19435,0,5134,0,1,0,41,0,0,0,0,1,118,1116,4,345
Czech Republic,cze,GLU054,0,17,0,0,0,1951,0,0,354,4933,8,5,1606,6,0,138,0,10,216,11,0,0,2408,22,2782,2,44,5405,0,1821,0,0,0,19,0,0,0,0,0,43,449,220,151
Germany,deu,GLU021,0,60,0,0,46,2472,0,16,2181,2495,6,25,1743,17,6,17,0,21,225,261,130,94,725,73,856,46,209,11946,0,6772,0,20,0,18,0,80,0,13,31,135,52,0,747
Germany,deu,GLU028,0,57,0,0,17,5137,0,0,3542,7200,8,26,4107,33,3,10,0,66,488,42,597,58,1678,105,3109,158,186,25495,0,9974,0,22,0,21,0,51,0,0,40,201,133,0,207
Germany,deu,GLU029,0,18,0,0,0,358,0,0,5,1127,0,0,217,1,0,2,0,2,40,16,0,0,106,35,137,1,11,2544,0,378,0,0,0,5,0,0,0,0,6,13,34,0,78
Germany,deu,GLU031,0,179,0,0,1,4604,0,0,1882,24601,18,114,7681,84,0,391,0,166,1277,158,19,6,3446,520,3298,197,658,28813,0,9825,0,34,0,70,0,0,0,0,134,389,1106,1,1812
Germany,deu,GLU032,0,155,0,0,8,12381,0,0,9221,13529,11,79,9310,77,0,782,0,191,1492,44,55,15,3000,328,13500,39,315,29762,0,12076,0,49,0,83,0,10,0,0,23,393,539,1345,626
Germany,deu,GLU054,0,70,0,153,0,1452,0,0,6986,13831,9,35,3112,4,0,157,0,50,343,125,199,0,1667,120,5223,211,597,11458,0,9480,0,0,0,15,0,0,0,0,147,127,675,0,449
