# File: GCAM_Corine_LT_mapping.csv
# Title: GCAM_Corine_LT_mapping
# Units: NA
# Original source: https://land.copernicus.eu/pan-european/corine-land-cover
# Description: Maps Corine land types to GCAM categorization
# Column types: cc
# ----------
Corine,GCAM
Agro-forestry areas,Pasture
Airports,UrbanLand
Annual crops associated with permanent crops,Cropland
Bare rocks,RockIceDesert
"Beaches, dunes, sands",RockIceDesert
Broad-leaved forest,Forest
Burnt areas,Cropland
Coastal lagoons,
Complex cultivation patterns,Cropland
Coniferous forest,Forest
Construction sites,UrbanLand
Continuous urban fabric,UrbanLand
Discontinuous urban fabric,UrbanLand
Dump sites,UrbanLand
Estuaries,
Fruit trees and berry plantations,Cropland
Glaciers and perpetual snow,RockIceDesert
Green urban areas,UrbanLand
Industrial or commercial units,UrbanLand
Inland marshes,Grassland
Peat bogs,Tundra
Intertidal flats,
"Land principally occupied by agriculture, with significant areas of natural vegetation",Pasture
Mineral extraction sites,UrbanLand
Mixed forest,Forest
Moors and heathland,Grassland
Natural grasslands,Grassland
Non-irrigated arable land,Cropland
Olive groves,Cropland
Pastures,Pasture
Permanently irrigated land,Cropland
Port areas,UrbanLand
Rice fields,Cropland
Road and rail networks and associated land,UrbanLand
Salines,
Salt marshes,
Sclerophyllous vegetation,Shrubland
Sea and ocean,
Sparsely vegetated areas,RockIceDesert
Sport and leisure facilities,UrbanLand
Transitional woodland-shrub,Shrubland
Vineyards,Cropland
Water bodies,
Water courses,
