# File: A_regions.csv
# Title: Region Assumptions
# Units: none
# Source: Various - see each dataset
# Description: Region mapping to various other emission-related datasets
# Column types: iccnccc
# ----------
GCAM_region_ID,region,MAC_region,bio_N2O_coef,SO2_name,GAINS_region,Velders_region
1,USA,United States,0.011314286,SO2_1,USAM_WHOL,USA
2,Africa_Eastern,Africa,0.009445905,SO2_3,AFRI_EAST,AFRICA
3,Africa_Northern,Africa,0.009445905,SO2_3,AFRI_NORT,AFRICA
4,Africa_Southern,Africa,0.009445905,SO2_3,AFRI_WEST,AFRICA
5,Africa_Western,Africa,0.009445905,SO2_3,AFRI_WEST,AFRICA
6,Australia_NZ,Australia,0.02357597,SO2_3,OCEA_WHOL,R-OECD
7,Brazil,Brazil,0.008163204,SO2_3,BRAZ_WHOL,L-AMER
8,Canada,Canada,0.014327954,SO2_1,CANA_WHOL,R-OECD
9,Central America and Caribbean,Central and South America,0.008163204,SO2_3,CEAM_REST,L-AMER
10,Central Asia,Eurasia,0.0095297,SO2_2,ASIA_STAN,R-ASIA
11,China,China,0.009519354,SO2_2,CHIN_PLUS,CHINA
12,EU-12,Europe,0.010212662,SO2_1,WEST_EURO,EU
13,EU-15,Europe,0.010212662,SO2_1,WEST_EURO,EU
14,Europe_Eastern,Eurasia,0.006412916,SO2_1,UKRA_PLUS,EU
15,Europe_Non_EU,Turkey,0.006412916,SO2_1,CENT_EURO,R-OECD
16,European Free Trade Association,Europe,0.010212662,SO2_1,WEST_EURO,R-OECD
17,India,India,0.005656341,SO2_2,INDI_WHOL,INDIA
18,Indonesia,Indonesia,0.0095297,SO2_2,INDO_PLUS,R-ASIA
19,Japan,Asia,0.006583467,SO2_2,JAPA_WHOL,JAPAN
20,Mexico,Mexico,0.008163204,SO2_3,MEXI_WHOL,L-AMER
21,Middle East,Middle East,0.015843792,SO2_3,MIDD_EAST,M-EAST
22,Pakistan,Asia,0.0095297,SO2_2,SOUA_REST,R-ASIA
23,Russia,Russia,0.004930186,SO2_4,RUSS_PLUS,RUSSIA
24,South Africa,Africa,0.009445905,SO2_3,SAFR_WHOL,AFRICA
25,South America_Northern,Central and South America,0.008163204,SO2_3,LAME_REST,L-AMER
26,South America_Southern,Central and South America,0.008163204,SO2_3,LAME_REST,L-AMER
27,South Asia,Asia,0.0095297,SO2_2,SOUA_REST,R-ASIA
28,South Korea,Asia,0.007774893,SO2_2,KORE_AALL,R-ASIA
29,Southeast Asia,Asia,0.0095297,SO2_2,SOEA_ASIA,R-ASIA
30,Taiwan,China,0.0095297,SO2_2,CHIN_PLUS,R-ASIA
31,Argentina,Central and South America,0.008163204,SO2_3,LAME_REST,L-AMER
32,Colombia,Central and South America,0.008163204,SO2_3,LAME_REST,L-AMER
