# File: EDGAR_all_F_gases.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR GHG_2024 https://edgar.jrc.ec.europa.eu/dataset_ghg2024
# Comments: EDGAR inventory of F gases compounds c-C4F8, C2F6, C3F8, C4F10, C5F12, C6F14, CF4, HCFC-141b, HCFC-142b, HFC-125, HFC-134, HFC-134a, HFC-143, HFC-143a, HFC-152a, HFC-227ea, HFC-23, HFC-236fa, HFC-245fa, HFC-32, HFC-365mfc, HFC-41, HFC-43-10-mee, NF3, SF6
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_1996_for_standard_report,ipcc_code_1996_for_standard_report_name,Substance,fossil_bio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non-Annex_I,India +,AFG,Afghanistan,2F1a,Commerical refrigeration,HFC-125,fossil,0,0,0,0,0,0,0,0,0.000078386,0.001722429,0.004717985,0.008054035,0.011545867,0.015106959,0.019441665,0.024114247,0.024875468,0.023784643,0.023850401,0.02457664,0.021797694,0.02102859,0.021594153,0.022631103,0.023668053,0.024705002,0.027388515,0.029934094,0.032883003,0.035609003,0.038349166,0.04115419,0.043911253,0.046678669
Non-Annex_I,India +,AFG,Afghanistan,2F1a,Commerical refrigeration,HFC-134a,fossil,0.000127976,0.000516054,0.000686656,0.000856,0.002903154,0.004950309,0.006997463,0.009044618,0.011091772,0.013138927,0.030043155,0.04143638,0.050284478,0.060364496,0.071848427,0.085510547,0.087316918,0.089123288,0.090929659,0.09273603,0.0945424,0.096348771,0.098155142,0.099961512,0.116166522,0.138558359,0.162636503,0.183269731,0.209579416,0.233253102,0.256791968,0.28129938,0.305206035,0.329190346
Non-Annex_I,India +,AFG,Afghanistan,2F1a,Commerical refrigeration,HFC-143a,fossil,0,0,0,9.52E-05,0.000239321,0.000556036,0.001176529,0.001841331,0.002782821,0.003925235,0.005186671,0.006342445,0.007661775,0.009108171,0.010307857,0.012649037,0.013899406,0.014646371,0.015575754,0.015839662,0.015575366,0.016103999,0.016632632,0.017161264,0.017689897,0.018218529,0.021262501,0.0248383,0.029236933,0.032909734,0.036792145,0.040776761,0.04462337,0.048527915
Non-Annex_I,India +,AFG,Afghanistan,2F4,Aerosols,HFC-152a,fossil,2.90E-05,0.003176223,0.00624533,0.009146685,0.012611836,0.016039885,0.01945922,0.022625609,0.026204759,0.02949577,0.031682406,0.029866654,0.031857831,0.033711547,0.033408114,0.030317482,0.035968943,0.041620403,0.047271864,0.052923324,0.057460912,0.05850566,0.056235473,0.057903907,0.05843929,0.058179966,0.058061211,0.062032526,0.06486279,0.067090398,0.070100127,0.072789327,0.075431506,0.078211876
Non-Annex_I,India +,AFG,Afghanistan,2F4,Aerosols,HFC-227ea,fossil,0,0,0,0,0,3.73E-05,0.000155585,0.000314639,0.000618666,0.000956566,0.00147614,0.002020013,0.002610415,0.003236298,0.003808198,0.0038879,0.004268516,0.004454098,0.004486578,0.004606191,0.004747231,0.00468861,0.004603778,0.004802087,0.005043541,0.005235541,0.005474907,0.00565597,0.005930186,0.006161734,0.006390677,0.006635579,0.00687071,0.007107035
Non-Annex_I,India +,AFG,Afghanistan,2F2a,Closed cell foam,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0,0.00002082,0.002378866,0.002174086,0.002306499,0.004638797,0.006498671,0.009697025,0.012249051,0.014101986,0.014864024,0.015625805,0.015224273,0.0161987,0.01767961,0.018264848,0.020127652,0.021287163,0.022489681,0.023897958,0.025154727,0.026443915,0.027761993
Non-Annex_I,India +,AFG,Afghanistan,2F1a,Commerical refrigeration,HFC-32,fossil,0,0,0,0,0,0,0,0,0,0.000644417,0.001288834,0.001933134,0.002577387,0.003221612,0.003865808,0.004258523,0.003393931,0.003447301,0.003500672,0.003554043,0.00730858,0.005664841,0.004227252,0.004116079,0.00548906,0.006956617,0.006956617,0.006956617,0.006956617,0.006956617,0.006956617,0.006956617,0.006956617,0.006956617
Non-Annex_I,India +,AFG,Afghanistan,2F2a,Closed cell foam,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,8.95E-05,0.000178927,0.000268391,0.000357854,0.000447318,0.000507081,0.00057162,0.001436064,0.002193568,0.003395794,0.004530239,0.00534306,0.005611567,0.006141049,0.006456655,0.006569604,0.006438269,0.006632157,0.006993779,0.00757396,0.007952524,0.008392646,0.008858935,0.00928726,0.009732172
Non-Annex_I,Southern_Africa,AGO,Angola,2F9,Other F-gas use,HCFC-141b,fossil,2.46E-08,3.71E-07,2.73E-06,4.78E-06,9.02E-06,1.52E-05,4.95E-05,8.16E-05,0.000125318,0.000157348,0.00025523,0.000625156,0.00128057,0.00163625,0.0023376,0.00388269,0.00505073,0.00545995,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917,0.00586917
Non-Annex_I,Southern_Africa,AGO,Angola,2F9,Other F-gas use,HCFC-142b,fossil,8.72E-06,1.11E-05,1.11E-05,6.45E-06,7.18E-06,8.98E-06,2.59E-05,0.000042436,5.74E-05,7.05E-05,0.00011295,0.000248293,0.000400755,0.000536553,0.000831359,0.00142657,0.00140191,0.00162584,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977,0.00184977
Non-Annex_I,Southern_Africa,AGO,Angola,2F1a,Commerical refrigeration,HFC-125,fossil,0,0,0,0,0,0,0,0,5.33E-05,0.001170228,0.003205425,0.005471956,0.007844326,0.010263751,0.013208775,0.016383353,0.01690053,0.016159417,0.016204094,0.016697505,0.014809474,0.01428694,0.014671187,0.015375696,0.016080206,0.016784715,0.018607908,0.020337389,0.022340894,0.024192954,0.026054636,0.027960384,0.029833548,0.031713746
Non-Annex_I,Southern_Africa,AGO,Angola,2F1a,Commerical refrigeration,HFC-134a,fossil,8.69E-05,0.00035061,0.000466518,0.000581571,0.001972419,0.003363267,0.004754115,0.006144963,0.007535811,0.008926659,0.020411485,0.028152105,0.034163552,0.041011972,0.048814218,0.058096338,0.059323596,0.060550854,0.061778112,0.063005371,0.064232629,0.065459887,0.066687145,0.067914403,0.078924176,0.094137314,0.110496138,0.124514467,0.142389412,0.158473445,0.17446588,0.191116351,0.207358664,0.223653738
