# File: FUT_EMISS_GV_CP_Low.csv
# Title: Historical and future global and regional HFC Emissions - Current Policies Low
# Units: Emissions (ton/uyr)
# Comment: HFC scenario lower range current policy 2022 scenario from Velders et al., ACP 2022. 
# Comment: (within org suppl data file) File-CP2021_constrProdEmis_ObsAgage_OECD-SSP3.dat
# Source: https://acp.copernicus.org/articles/22/6087/2022/ 
# Column types: cinnnnnnnnnn
# ----------
Species,Year,Prod_tot,Bank_tot,Emis_tot,Mix_tot,Prod_nonA5,Prod_A5,Bank_nonA5,Bank_A5,Emis_nonA5,Emis_A5
HFC-32,1990,19.2,0,1.2,0,19.2,0,0,0,1.2,0
HFC-32,1991,69,18.1,109.6,0,69,0,18.1,0,109.6,0
HFC-32,1992,576.5,-22.6,219.3,0.01,576.5,0,-22.6,0,219.3,0
HFC-32,1993,607.4,334.7,251,0.03,607.4,0,334.7,0,251,0
HFC-32,1994,824.5,691.1,282.7,0.05,824.5,0,691.1,0,282.7,0
HFC-32,1995,1117.2,1233,314.4,0.08,1117.2,0,1233,0,314.4,0
HFC-32,1996,698.2,2035.7,346.1,0.1,698.2,0,2035.7,0,346.1,0
HFC-32,1997,862.2,2387.8,428.4,0.12,862.2,0,2387.8,0,428.4,0
HFC-32,1998,1508,2821.7,489.7,0.14,1508,0,2821.7,0,489.7,0
HFC-32,1999,3326.8,3840,747,0.17,3326.8,0,3840,0,747,0
HFC-32,2000,5280.4,6419.8,872,0.22,5280.4,0,6419.8,0,872,0
HFC-32,2001,9032,10828.1,1341.1,0.28,9032,0,10828.1,0,1341.1,0
HFC-32,2002,14240.1,18519,1797.8,0.37,14240.1,0,18519,0,1797.8,0
HFC-32,2003,21379.3,30961.4,2732.5,0.5,21379.3,0,30961.4,0,2732.5,0
HFC-32,2004,24343.8,49608.2,4114.5,0.71,24343.8,0,49608.2,0,4114.5,0
HFC-32,2005,34284.2,69837.5,5151.4,1.03,34284.2,0,69837.5,0,5151.4,0
HFC-32,2006,37619.5,98970.4,6563.2,1.4,35481.4,2138.1,98970.4,0,6432.3,130.9
HFC-32,2007,35762.1,130026.6,8148.3,1.87,32841.8,2920.3,128019.4,2007.2,7840.7,307.6
HFC-32,2008,40426.3,157640.5,9184.8,2.42,35988.9,4437.4,153020.6,4619.9,8651.7,533.1
HFC-32,2009,53721.8,188882,10996.2,2.99,46217.1,7504.7,180357.8,8524.2,10072.2,924
HFC-32,2010,62801.9,231607.5,14900,3.66,49357.3,13444.6,216502.6,15104.9,13065.4,1834.7
HFC-32,2011,77241.9,279509.3,17457.6,4.63,51655.1,25586.8,252794.6,26714.8,14231.7,3225.9
HFC-32,2012,85099,339293.5,20233.3,5.71,57827.2,27271.8,290217.9,49075.6,15674.3,4559
HFC-32,2013,88271,404159.3,23356,6.9,51838.1,36433,332370.9,71788.4,16983.9,6372.1
