# File: GAINS_region_name_mapping.csv
# Title: Region name mapping
# Units: Map GAINS raw data regions to region names used previously in GCAM
# Column types: cc
# ----------
RAW_GAINS_REGIONS,A_GAINS_regions
AFRI_EAST,Eastern Africa
AFRI_NORT,Northern Africa
AFRI_WEST,Western Africa
ASIA_STAN,Asia-Stan
BRAZ_WHOL,Brazil
CANA_WHOL,Canada
CEAM_REST,Rest Central America
CENT_EURO,Central Europe
CHIN_PLUS,China+
INDI_WHOL,India
INDO_PLUS,Indonesia+
JAPA_WHOL,Japan
KORE_AALL,Korea
LAME_REST,Rest South America
MEXI_WHOL,Mexico
MIDD_EAST,Middle East
OCEA_WHOL,Oceania
RUSS_PLUS,Russia+
SAFR_WHOL,South Africa
SOEA_ASIA,Southeastern Asia
SOUA_REST,Rest South Asia
UKRA_PLUS,Ukraine+
USAM_WHOL,USA
WEST_EURO,Western Europe
