# File: drop_folder_vintaged_EF_sectors.csv
# Title: unique supplysector subsector stub.technology Non.CO2 combinations
# Units: NA
# Source: NA
# Description: NA
# Column types: ccccc
# ---------
region,supplysector,subsector,stub.technology,Non.CO2
Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,BC
Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,CO
Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,NH3
Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,NMVOC
Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,NOx
Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,OC
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,BC
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,CO
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,NH3
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,NMVOC
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,NOx
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,OC
Africa_Eastern,trn_freight_road,Heavy truck,Liquids,SO2_3
Africa_Eastern,trn_freight_road,Light truck,Hybrid Liquids,BC
Africa_Eastern,trn_freight_road,Light truck,Hybrid Liquids,CO
Africa_Eastern,trn_freight_road,Light truck,Hybrid Liquids,NH3
Africa_Eastern,trn_freight_road,Light truck,Hybrid Liquids,NMVOC
Africa_Eastern,trn_freight_road,Light truck,Hybrid Liquids,NOx
Africa_Eastern,trn_freight_road,Light truck,Hybrid Liquids,OC
Africa_Eastern,trn_freight_road,Light truck,Liquids,BC
Africa_Eastern,trn_freight_road,Light truck,Liquids,CO
Africa_Eastern,trn_freight_road,Light truck,Liquids,NH3
Africa_Eastern,trn_freight_road,Light truck,Liquids,NMVOC
Africa_Eastern,trn_freight_road,Light truck,Liquids,NOx
Africa_Eastern,trn_freight_road,Light truck,Liquids,OC
Africa_Eastern,trn_freight_road,Light truck,Liquids,SO2_3
Africa_Eastern,trn_freight_road,Medium truck,Hybrid Liquids,BC
Africa_Eastern,trn_freight_road,Medium truck,Hybrid Liquids,CO
Africa_Eastern,trn_freight_road,Medium truck,Hybrid Liquids,NH3
Africa_Eastern,trn_freight_road,Medium truck,Hybrid Liquids,NMVOC
Africa_Eastern,trn_freight_road,Medium truck,Hybrid Liquids,NOx
Africa_Eastern,trn_freight_road,Medium truck,Hybrid Liquids,OC
Africa_Eastern,trn_freight_road,Medium truck,Liquids,BC
Africa_Eastern,trn_freight_road,Medium truck,Liquids,CO
Africa_Eastern,trn_freight_road,Medium truck,Liquids,NH3
Africa_Eastern,trn_freight_road,Medium truck,Liquids,NMVOC
Africa_Eastern,trn_freight_road,Medium truck,Liquids,NOx
Africa_Eastern,trn_freight_road,Medium truck,Liquids,OC
Africa_Eastern,trn_freight_road,Medium truck,Liquids,SO2_3
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Hybrid Liquids,CO
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Hybrid Liquids,NH3
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Hybrid Liquids,NMVOC
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,BC
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,CO
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,NH3
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,NMVOC
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,NOx
Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,OC
Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,BC
Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,CO
Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,NH3
Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,NMVOC
Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,NOx
Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,OC
Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,BC
Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,CO
Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,NH3
Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,NMVOC
Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,NOx
Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,OC
Africa_Northern,trn_freight_road,Heavy truck,Hybrid Liquids,BC
Africa_Northern,trn_freight_road,Heavy truck,Hybrid Liquids,CO
Africa_Northern,trn_freight_road,Heavy truck,Hybrid Liquids,NMVOC
Africa_Northern,trn_freight_road,Heavy truck,Hybrid Liquids,NOx
Africa_Northern,trn_freight_road,Heavy truck,Hybrid Liquids,OC
Africa_Northern,trn_freight_road,Heavy truck,Liquids,BC
Africa_Northern,trn_freight_road,Heavy truck,Liquids,CO
Africa_Northern,trn_freight_road,Heavy truck,Liquids,NH3
Africa_Northern,trn_freight_road,Heavy truck,Liquids,NMVOC
Africa_Northern,trn_freight_road,Heavy truck,Liquids,NOx
Africa_Northern,trn_freight_road,Heavy truck,Liquids,OC
Africa_Northern,trn_freight_road,Heavy truck,Liquids,SO2_3
Africa_Northern,trn_freight_road,Light truck,Hybrid Liquids,BC
Africa_Northern,trn_freight_road,Light truck,Hybrid Liquids,CO
Africa_Northern,trn_freight_road,Light truck,Hybrid Liquids,NMVOC
Africa_Northern,trn_freight_road,Light truck,Hybrid Liquids,NOx
Africa_Northern,trn_freight_road,Light truck,Hybrid Liquids,OC
Africa_Northern,trn_freight_road,Light truck,Liquids,BC
