# File: gains_agg_filtered_2025-07-02.csv
# Title: GAINS model emission factors - scenario pathways
# Units: emission factors
# Source: GAINS model
# Description: GAINS emission factor data by sector and gas for historical and modeled years
# Column types: cccccnn
# ----------
scen,Group_Region,EMF30_AGG,POLLUTANT_FRACTION,year,ef
historical,AFRI_EAST,CEMENT,CO,1990,0.289248389
historical,AFRI_EAST,CEMENT,CO,1995,0.296085785
historical,AFRI_EAST,CEMENT,CO,2000,0.297231696
historical,AFRI_EAST,CEMENT,CO,2005,0.290487735
historical,AFRI_EAST,CEMENT,CO,2010,0.281724986
historical,AFRI_EAST,CEMENT,CO,2015,0.286600334
historical,AFRI_EAST,CEMENT,CO,2020,0.293635557
historical,AFRI_EAST,CEMENT,NOX,1990,2.596895009
historical,AFRI_EAST,CEMENT,NOX,1995,2.606448631
historical,AFRI_EAST,CEMENT,NOX,2000,2.609399049
historical,AFRI_EAST,CEMENT,NOX,2005,2.602525276
historical,AFRI_EAST,CEMENT,NOX,2010,2.588686697
historical,AFRI_EAST,CEMENT,NOX,2015,2.597532261
historical,AFRI_EAST,CEMENT,NOX,2020,2.610861471
historical,AFRI_EAST,CEMENT,PM_BC,1990,0.002182326
historical,AFRI_EAST,CEMENT,PM_BC,1995,0.002604303
historical,AFRI_EAST,CEMENT,PM_BC,2000,0.002406786
historical,AFRI_EAST,CEMENT,PM_BC,2005,0.001648355
historical,AFRI_EAST,CEMENT,PM_BC,2010,0.001235008
historical,AFRI_EAST,CEMENT,PM_BC,2015,0.001258578
historical,AFRI_EAST,CEMENT,PM_BC,2020,0.001330986
historical,AFRI_EAST,CEMENT,PM_OC,1990,0.010463583
historical,AFRI_EAST,CEMENT,PM_OC,1995,0.013022401
historical,AFRI_EAST,CEMENT,PM_OC,2000,0.01228231
historical,AFRI_EAST,CEMENT,PM_OC,2005,0.007292479
historical,AFRI_EAST,CEMENT,PM_OC,2010,0.004571132
historical,AFRI_EAST,CEMENT,PM_OC,2015,0.00495403
historical,AFRI_EAST,CEMENT,PM_OC,2020,0.005508123
historical,AFRI_EAST,CEMENT,SO2,1990,0.520648591
historical,AFRI_EAST,CEMENT,SO2,1995,0.523720736
historical,AFRI_EAST,CEMENT,SO2,2000,0.524669498
historical,AFRI_EAST,CEMENT,SO2,2005,0.522459108
historical,AFRI_EAST,CEMENT,SO2,2010,0.518009055
historical,AFRI_EAST,CEMENT,SO2,2015,0.520853511
historical,AFRI_EAST,CEMENT,SO2,2020,0.525139767
historical,AFRI_EAST,CHEM,VOC,1990,0.81005095
historical,AFRI_EAST,CHEM,VOC,1995,0.749884526
historical,AFRI_EAST,CHEM,VOC,2000,0.793255362
historical,AFRI_EAST,CHEM,VOC,2005,0.922287434
historical,AFRI_EAST,CHEM,VOC,2010,0.932168852
historical,AFRI_EAST,CHEM,VOC,2015,0.946795792
historical,AFRI_EAST,CHEM,VOC,2020,0.980878872
historical,AFRI_EAST,CUSM,CO,1990,0
historical,AFRI_EAST,CUSM,CO,1995,0
historical,AFRI_EAST,CUSM,CO,2000,0
historical,AFRI_EAST,CUSM,CO,2005,0
historical,AFRI_EAST,CUSM,CO,2010,0
historical,AFRI_EAST,CUSM,CO,2015,0
historical,AFRI_EAST,CUSM,CO,2020,0
historical,AFRI_EAST,CUSM,NOX,1990,0
historical,AFRI_EAST,CUSM,NOX,1995,0
historical,AFRI_EAST,CUSM,NOX,2000,0
historical,AFRI_EAST,CUSM,NOX,2005,0
historical,AFRI_EAST,CUSM,NOX,2010,0
historical,AFRI_EAST,CUSM,NOX,2015,0
historical,AFRI_EAST,CUSM,NOX,2020,0
historical,AFRI_EAST,CUSM,PM_BC,1990,0
historical,AFRI_EAST,CUSM,PM_BC,1995,0
historical,AFRI_EAST,CUSM,PM_BC,2000,0
historical,AFRI_EAST,CUSM,PM_BC,2005,0
historical,AFRI_EAST,CUSM,PM_BC,2010,0
historical,AFRI_EAST,CUSM,PM_BC,2015,0
historical,AFRI_EAST,CUSM,PM_BC,2020,0
historical,AFRI_EAST,CUSM,PM_OC,1990,0
