# File: CP2021_constrProdEmis_ObsAgage_OECD-SSP3.csv
# Title: Historical and future global and regional HFC Emissions - Current Policies Low
# Units: Emissions (ton/yr)
# Comment: HFC scenario upper range current policy 2022 scenario from Velders et al., ACP 2022.
# Comment: Same data as in paper supplemental files, supplied by G. Velders with additional decimals to avoid numerical aliasing
# Source: https://acp.copernicus.org/articles/22/6087/2022/ 
# Column types: cinnnnnnnnnn
# ----------
Species,Year,Prod_tot,Bank_tot,Emis_tot,Mix_tot,Prod_nonA5,Prod_A5,Bank_nonA5,Bank_A5,Emis_nonA5,Emis_A5
HFC-125,1990,28.67,0,2.37,0,28.67,0,0,0,2.37,0
HFC-125,1991,88.41,26.299,8.19,0.0001,88.41,0,26.299,0,8.19,0
HFC-125,1992,62.59,106.519,615.623,0.0005,62.59,0,106.519,0,615.623,0
HFC-125,1993,2423.265,-446.515,1037.012,0.0312,2423.265,0,-446.515,0,1037.012,0
HFC-125,1994,6685.54,939.739,1069.93,0.0818,6685.54,0,939.739,0,1069.93,0
HFC-125,1995,11769.198,6555.349,3111.035,0.1324,11769.198,0,6555.349,0,3111.035,0
HFC-125,1996,12212.31,15213.509,4213.882,0.283,12212.31,0,15213.509,0,4213.882,0
HFC-125,1997,16124.697,23211.936,7576.528,0.4835,16124.697,0,23211.936,0,7576.528,0
HFC-125,1998,15837.098,31760.096,6231.472,0.8449,15837.098,0,31760.096,0,6231.472,0
HFC-125,1999,18135.006,41365.723,5881.801,1.1275,18135.006,0,41365.723,0,5881.801,0
HFC-125,2000,12375.648,53618.926,8222.613,1.3835,12375.648,0,53618.926,0,8222.613,0
HFC-125,2001,22074.172,57771.969,9201.623,1.7476,22074.172,0,57771.969,0,9201.623,0
HFC-125,2002,31965.086,70644.508,10844.878,2.1485,31965.086,0,70644.508,0,10844.878,0
HFC-125,2003,33287.148,91764.734,12917.931,2.6181,33287.148,0,91764.734,0,12917.931,0
HFC-125,2004,37729.5,112133.93,14031.684,3.1755,37729.5,0,112133.93,0,14031.684,0
HFC-125,2005,47780.781,135831.781,15333.589,3.7701,47780.781,0,135831.781,0,15333.589,0
HFC-125,2006,54815.523,168278.953,18438.172,4.4101,53009.609,1805.915,168278.953,0,18325.607,112.566
HFC-125,2007,59780.477,204656.297,21449.195,5.1837,56956.371,2824.106,202962.953,1693.35,21164.482,284.712
HFC-125,2008,68146.805,242987.609,24836.658,6.0818,63794.563,4352.241,238754.859,4232.744,24293.223,543.435
HFC-125,2009,81400.43,286297.688,27617.543,7.1192,74069.047,7331.381,278256.156,8041.55,26677.863,939.68
HFC-125,2010,94801.359,340080.594,33607.609,8.261,81487.492,13313.865,325647.344,14433.251,31826.301,1781.309
HFC-125,2011,113480.023,401274.438,38192.188,9.6637,78126.453,35353.563,375308.625,25965.809,33798.348,4393.837
HFC-125,2012,123941.984,476562.188,43229.367,11.2487,85058.281,38883.711,419636.656,56925.531,36233.25,6996.118
HFC-125,2013,124964.984,557274.813,48158.715,13.0326,76917.75,48047.234,468461.719,88813.117,38225.02,9933.691
HFC-125,2014,135124.406,634081.125,54146.176,15.0035,77106.266,58018.137,507154.469,126926.648,40669.09,13477.086
HFC-125,2015,160561.734,715059.25,58970.359,17.2079,83644.602,76917.133,543591.563,171467.703,41553.191,17417.168
HFC-125,2016,161707.563,816650.813,65888.125,19.5802,82678.383,79029.211,585683.125,230967.656,43981.637,21906.488
HFC-125,2017,178941.688,912470.25,74919.305,22.2193,86177.633,92764.055,624379.813,288090.375,47380.27,27539.041
HFC-125,2018,198460.516,1016492.5,79151.477,25.2216,93014.297,105446.211,663177.125,353315.375,47476.457,31675.023
HFC-125,2019,201506.969,1135801.25,82653.977,28.3361,90900.992,110606,708714.813,427086.563,47298.188,35355.793
HFC-125,2020,220196.422,1254654.375,95689.648,31.523,89740.352,130456.078,752317.688,502336.781,52007.09,43682.555
HFC-125,2021,224185.578,1379161.25,103005.578,35.2545,85603.094,138582.484,790051,589110.313,53203.871,49801.715
HFC-125,2022,224989.453,1500341.375,109893.844,39.228,77704.555,147284.891,822450.313,677891.063,53864.742,56029.102
HFC-125,2023,234052.313,1615436.875,116941.914,43.4143,77583.438,156468.875,846290,769146.75,54549.656,62392.258
HFC-125,2024,226271.188,1732547.125,122926.422,47.8142,60029.531,166241.656,869323.75,863223.5,54003.488,68922.945
HFC-125,2025,262639.656,1835892,130813.086,52.368,59338.117,203301.516,875349.813,960542.125,53560.672,77252.414
HFC-125,2026,264710.031,1967718.375,138416.703,57.1651,58646.195,206063.844,881127.25,1086591.375,53198.18,85218.523
HFC-125,2027,265021.719,2094011.75,145605.453,62.1836,56098.773,208922.938,886575.188,1207436.75,52753.352,92852.086
HFC-125,2028,267333.5,2213428.25,152553.75,67.3956,55449.078,211884.422,889920.813,1323507.5,52371.664,100182.078
HFC-125,2029,255632.313,2328208,158305.297,72.7827,40682.246,214950.063,892998.25,1435209.75,51069.785,107235.539
HFC-125,2030,288868.75,2425535,165786.844,78.2796,39161.074,249707.656,882610.688,1542924.5,49854.016,115932.805
HFC-125,2031,291212.125,2548617,173014.063,83.9688,39041.699,252170.422,871917.688,1676699.25,48774.426,124239.656
HFC-125,2032,293553.688,2666815,180008.922,89.8314,38841.52,254712.188,862184.938,1804630.125,47822.918,132185.984
HFC-125,2033,295973.063,2780359.75,186779.328,95.8502,38637.566,257335.5,853203.375,1927156.125,46979.363,139799.969
HFC-125,2034,293701.344,2889553.25,193007.219,102.0087,33657.641,260043.719,844861.75,2044691.75,45899.156,147108.047
HFC-125,2035,296385.688,2990247.75,199080.063,108.2755,33547.063,262838.625,832620.25,2157627.5,44944.996,154135.063
HFC-125,2036,296182.563,3087553.25,204802.813,114.6392,31042.264,265140.313,821222.375,2266331,43933.398,160869.438
HFC-125,2037,298587.844,3178933,210372.938,121.0793,31073.445,267514.406,808331.125,2370602,43038.926,167334
HFC-125,2038,301068.594,3267148,215795.375,127.5856,31104.703,269963.906,796365.75,2470782.25,42244.93,173550.438
HFC-125,2039,303625.125,3352421,221076.359,134.1486,31136.369,272488.75,785225.313,2567195.5,41537.434,179538.922
HFC-125,2040,308893.25,3434969.75,226381.094,140.7595,31168.393,277724.875,774824.313,2660145.5,40904.57,185476.531
HFC-125,2041,311054.438,3517482.5,231516.625,147.4177,31201.598,279852.875,765088.25,2752394,40336.195,191180.438
HFC-125,2042,313281.594,3597019.75,236493.016,154.1134,31234.865,282046.75,755953.563,2841066.25,39823.789,196669.219
HFC-125,2043,315575.469,3673808.5,241320.375,160.8374,31268.209,284307.281,747364.625,2926444,39360.141,201960.25
HFC-125,2044,317938.344,3748063.25,246009.094,167.5813,31302.279,286636.063,739272.75,3008790.75,38939.141,207069.938
