# File: CP2021_constrProdEmis_ObsAgage_OECD-SSP5.csv
# Title: Historical and future global and regional HFC Emissions - Current Policies High
# Units: Emissions (ton/yr)
# Comment: HFC scenario upper range current policy 2022 scenario from Velders et al., ACP 2022.
# Comment: Same data as in paper supplemental files, supplied by G. Velders with additional decimals to avoid numerical aliasing
# Source: https://acp.copernicus.org/articles/22/6087/2022/ 
# Column types: cinnnnnnnnnn
# ----------
Species,Year,Prod_tot,Bank_tot,Emis_tot,Mix_tot,Prod_nonA5,Prod_A5,Bank_nonA5,Bank_A5,Emis_nonA5,Emis_A5
HFC-125,1990,28.67,0,2.37,0,28.67,0,0,0,2.37,0
HFC-125,1991,88.41,26.299,8.19,0.0001,88.41,0,26.299,0,8.19,0
HFC-125,1992,62.59,106.519,615.623,0.0005,62.59,0,106.519,0,615.623,0
HFC-125,1993,2423.265,-446.515,1037.012,0.0312,2423.265,0,-446.515,0,1037.012,0
HFC-125,1994,6685.54,939.739,1069.93,0.0818,6685.54,0,939.739,0,1069.93,0
HFC-125,1995,11769.198,6555.349,3111.035,0.1324,11769.198,0,6555.349,0,3111.035,0
HFC-125,1996,12212.31,15213.509,4213.882,0.283,12212.31,0,15213.509,0,4213.882,0
HFC-125,1997,16124.697,23211.936,7576.528,0.4835,16124.697,0,23211.936,0,7576.528,0
HFC-125,1998,15837.098,31760.096,6231.472,0.8449,15837.098,0,31760.096,0,6231.472,0
HFC-125,1999,18135.006,41365.723,5881.801,1.1275,18135.006,0,41365.723,0,5881.801,0
HFC-125,2000,12375.648,53618.926,8222.613,1.3835,12375.648,0,53618.926,0,8222.613,0
HFC-125,2001,22074.172,57771.969,9201.623,1.7476,22074.172,0,57771.969,0,9201.623,0
HFC-125,2002,31965.086,70644.508,10844.878,2.1485,31965.086,0,70644.508,0,10844.878,0
HFC-125,2003,33287.148,91764.734,12917.931,2.6181,33287.148,0,91764.734,0,12917.931,0
HFC-125,2004,37729.5,112133.93,14031.684,3.1755,37729.5,0,112133.93,0,14031.684,0
HFC-125,2005,47780.781,135831.781,15333.589,3.7701,47780.781,0,135831.781,0,15333.589,0
HFC-125,2006,54815.523,168278.953,18438.172,4.4101,53009.609,1805.915,168278.953,0,18325.607,112.566
HFC-125,2007,59780.477,204656.297,21449.195,5.1837,56956.371,2824.106,202962.953,1693.35,21164.482,284.712
HFC-125,2008,68146.805,242987.609,24836.658,6.0818,63794.563,4352.241,238754.859,4232.744,24293.223,543.435
HFC-125,2009,81400.43,286297.688,27617.543,7.1192,74069.047,7331.381,278256.156,8041.55,26677.863,939.68
HFC-125,2010,94801.359,340080.594,33607.609,8.261,81487.492,13313.865,325647.344,14433.251,31826.301,1781.309
HFC-125,2011,113480.023,401274.438,38192.188,9.6637,78126.453,35353.563,375308.625,25965.809,33798.348,4393.837
HFC-125,2012,123941.984,476562.188,43229.367,11.2487,85058.281,38883.711,419636.656,56925.531,36233.25,6996.118
HFC-125,2013,124964.984,557274.813,48158.715,13.0326,76917.75,48047.234,468461.719,88813.117,38225.02,9933.691
HFC-125,2014,135124.406,634081.125,54146.176,15.0035,77106.266,58018.137,507154.469,126926.648,40669.09,13477.086
HFC-125,2015,160561.734,715059.25,58970.359,17.2079,83644.602,76917.133,543591.563,171467.703,41553.191,17417.168
HFC-125,2016,161707.563,816650.813,65888.125,19.5802,82678.383,79029.211,585683.125,230967.656,43981.637,21906.488
HFC-125,2017,178941.688,912470.25,74919.305,22.2193,86177.633,92764.055,624379.813,288090.375,47380.27,27539.041
HFC-125,2018,198460.516,1016492.5,79151.477,25.2216,93014.297,105446.211,663177.125,353315.375,47476.457,31675.023
HFC-125,2019,203253.547,1135801.25,82653.961,28.3361,91246.445,112007.125,708714.813,427086.563,47233.77,35420.203
HFC-125,2020,232343.406,1256401.125,97093.523,31.523,90429.805,141913.625,752727.625,503673.5,52085.871,45007.645
HFC-125,2021,243814.063,1391651,106126.766,35.3245,86609.336,157204.75,791071.563,600579.438,53343.082,52783.68
HFC-125,2022,249985.656,1529338.25,114972.383,39.4511,77914.578,172071.078,824337.688,705000.438,54003.5,60968.883
HFC-125,2023,261926.578,1664351.625,124074.289,43.8829,77829.445,184097.125,848248.875,816102.625,54691.836,69382.461
HFC-125,2024,250722.969,1802204,131831.828,48.6227,60255.113,190467.875,871386.5,930817.375,54148.746,77683.078
HFC-125,2025,304823.563,1921095.125,143231.766,53.5933,59563.328,245260.25,877492.875,1043602.313,53710.18,89521.578
HFC-125,2026,312280.125,2082687,154465.719,58.9687,58865.832,253414.266,883346.188,1199340.875,53352.809,101112.906
HFC-125,2027,318484.25,2240501.25,165440.781,64.7273,56289.41,262194.844,888859,1351642.25,52912.348,112528.438
HFC-125,2028,327240.656,2393545,176370.453,70.8436,55596.82,271643.844,892236.125,1501308.5,52533.645,123836.813
HFC-125,2029,322572.156,2544415.25,186337.078,77.3036,40757.824,281814.281,895299.25,1649115.625,51231.691,135105.375
HFC-125,2030,378699.313,2680650,199979.594,84.0482,39168.18,339531.125,884825.438,1795824.5,50013.551,149966.031
HFC-125,2031,390238.188,2859369.5,213552.359,91.251,39051.977,351186.188,873979.875,1985389.75,48932.684,164619.672
HFC-125,2032,402556.656,3036055.5,227135.234,98.8935,38854.227,363702.438,864099.313,2171956.25,47980.719,179154.531
HFC-125,2033,415787.781,3211476.75,240793.063,106.9619,38651.645,377136.156,854972.875,2356503.75,47137.246,193655.828
HFC-125,2034,425231.25,3386471.5,254265.172,115.4458,33671.543,391559.688,846487.25,2539984.25,46057.434,208207.734
HFC-125,2035,440607.031,3557437.5,267997.313,124.3225,33570.629,407036.406,834101.188,2723336.5,45104.977,222892.328
HFC-125,2036,452860.156,3730047.75,281736.313,133.5919,31070.9,421789.25,822567,2907480.5,44096.027,237640.266
HFC-125,2037,468643.469,3901171,295732.656,143.2416,31106.705,437536.781,809541.813,3091629.25,43205.016,252527.656
HFC-125,2038,485495.719,4074082.25,310045.656,153.2719,31143.482,454352.25,797443.688,3276638.5,42415.242,267630.375
HFC-125,2039,501612.25,4249532.5,324530.438,163.6862,31180.975,470431.313,786171.875,3463360.25,41712.637,282817.813
HFC-125,2040,522831.688,4426614.5,339569.594,174.4803,31218.703,491613,775640.063,3650973.75,41085.246,298484.344
HFC-125,2041,538462.188,4609875.5,354670.188,185.6694,31245.945,507216.188,765773.625,3844102.25,40522.199,314147.969
HFC-125,2042,554967.563,4793668,369895.625,197.2436,31273.834,523693.719,756497.5,4037171,40015.004,329880.625
HFC-125,2043,572396.063,4978739.5,385308.063,209.1966,31301.959,541094.125,747756.125,4230983.5,39556.426,345751.625
