# File: KGL2021_constrProdEmis_ObsAgage_OECD-SSP5.csv
# Title: Historical and future global and regional HFC Emissions - Kigali Compliant High
# Units: Emissions (ton/yr)
# Comment: HFC scenario upper range current policy 2022 scenario from Velders et al., ACP 2022.
# Comment: Same data as in paper supplemental files, supplied by G. Velders with additional decimals to avoid numerical aliasing
# Source: https://acp.copernicus.org/articles/22/6087/2022/ 
# Column types: cinnnnnnnnnn
# ----------
Species,Year,Prod_tot,Bank_tot,Emis_tot,Mix_tot,Prod_nonA5,Prod_A5,Bank_nonA5,Bank_A5,Emis_nonA5,Emis_A5
HFC-125,1990,28.67,0,2.37,0,28.67,0,0,0,2.37,0
HFC-125,1991,88.41,26.299,8.19,0.0001,88.41,0,26.299,0,8.19,0
HFC-125,1992,62.59,106.519,615.623,0.0005,62.59,0,106.519,0,615.623,0
HFC-125,1993,2423.265,-446.515,1037.012,0.0312,2423.265,0,-446.515,0,1037.012,0
HFC-125,1994,6685.54,939.739,1069.93,0.0818,6685.54,0,939.739,0,1069.93,0
HFC-125,1995,11769.198,6555.349,3111.035,0.1324,11769.198,0,6555.349,0,3111.035,0
HFC-125,1996,12212.31,15213.509,4213.882,0.283,12212.31,0,15213.509,0,4213.882,0
HFC-125,1997,16124.697,23211.936,7576.528,0.4835,16124.697,0,23211.936,0,7576.528,0
HFC-125,1998,15837.098,31760.096,6231.472,0.8449,15837.098,0,31760.096,0,6231.472,0
HFC-125,1999,18135.006,41365.723,5881.801,1.1275,18135.006,0,41365.723,0,5881.801,0
HFC-125,2000,12375.648,53618.926,8222.613,1.3835,12375.648,0,53618.926,0,8222.613,0
HFC-125,2001,22074.172,57771.969,9201.623,1.7476,22074.172,0,57771.969,0,9201.623,0
HFC-125,2002,31965.086,70644.508,10844.878,2.1485,31965.086,0,70644.508,0,10844.878,0
HFC-125,2003,33287.148,91764.734,12917.931,2.6181,33287.148,0,91764.734,0,12917.931,0
HFC-125,2004,37729.5,112133.93,14031.684,3.1755,37729.5,0,112133.93,0,14031.684,0
HFC-125,2005,47780.781,135831.781,15333.589,3.7701,47780.781,0,135831.781,0,15333.589,0
HFC-125,2006,54815.523,168278.953,18438.172,4.4101,53009.609,1805.915,168278.953,0,18325.607,112.566
HFC-125,2007,59780.477,204656.297,21449.195,5.1837,56956.371,2824.106,202962.953,1693.35,21164.482,284.712
HFC-125,2008,68146.805,242987.609,24836.658,6.0818,63794.563,4352.241,238754.859,4232.744,24293.223,543.435
HFC-125,2009,81400.43,286297.688,27617.543,7.1192,74069.047,7331.381,278256.156,8041.55,26677.863,939.68
HFC-125,2010,94801.359,340080.594,33607.609,8.261,81487.492,13313.865,325647.344,14433.251,31826.301,1781.309
HFC-125,2011,113480.023,401274.438,38192.188,9.6637,78126.453,35353.563,375308.625,25965.809,33798.348,4393.837
HFC-125,2012,123941.984,476562.188,43229.367,11.2487,85058.281,38883.711,419636.656,56925.531,36233.25,6996.118
HFC-125,2013,124964.984,557274.813,48158.715,13.0326,76917.75,48047.234,468461.719,88813.117,38225.02,9933.691
HFC-125,2014,135124.406,634081.125,54146.176,15.0035,77106.266,58018.137,507154.469,126926.648,40669.09,13477.086
HFC-125,2015,160561.734,715059.25,58970.359,17.2079,83644.602,76917.133,543591.563,171467.703,41553.191,17417.168
HFC-125,2016,161707.563,816650.813,65888.125,19.5802,82678.383,79029.211,585683.125,230967.656,43981.637,21906.488
HFC-125,2017,178941.688,912470.25,74919.305,22.2193,86177.633,92764.055,624379.813,288090.375,47380.27,27539.041
HFC-125,2018,198460.516,1016492.5,79151.477,25.2216,93014.297,105446.211,663177.125,353315.375,47476.457,31675.023
HFC-125,2019,187806.219,1135801.25,82653.969,28.3361,75799.117,112007.125,708714.813,427086.563,46796.664,35857.309
HFC-125,2020,216789.234,1240953.75,94969.117,31.523,74875.633,141913.625,737717.375,503236.375,49994.43,44974.691
HFC-125,2021,228117.625,1362773.875,103136.578,35.2187,70912.898,157204.75,762598.563,600175.25,50383.125,52753.453
HFC-125,2022,242945.656,1487755.25,111794.273,39.1999,70874.578,172071.078,783128.438,704626.625,50853.152,60941.125
HFC-125,2023,254909.266,1618906.375,120713.289,43.4817,70812.141,184097.125,803149.688,815756.563,51356.348,69356.953
HFC-125,2024,239590.344,1753102.375,127996.43,48.0672,49122.48,190467.875,822605.5,930496.75,50336.809,77659.617
HFC-125,2025,287315.125,1864696.125,138517.359,52.8651,48868.477,238446.641,821391.063,1043305,49480.992,89036.344
HFC-125,2026,290083.375,2013493.75,148624.922,58.0296,48183.473,241899.891,820778.625,1192715.25,48735.832,99889.07
HFC-125,2027,291140.875,2154952.25,158210.375,63.5281,45619.211,245521.672,820226.25,1334726,47934.695,110275.68
HFC-125,2028,288542.781,2287882.75,166884.641,69.3237,44938.863,243603.922,817910.813,1469971.875,47220.512,119664.125
HFC-125,2029,252528.453,2409541.25,172495.75,75.3612,25696.527,226831.922,815629.313,1593911.875,45273.199,127222.57
HFC-125,2030,254714.828,2489573.25,178172.156,81.4802,24469.408,230245.422,796052.5,1693521.25,43486.797,134685.375
HFC-125,2031,252682.406,2566116.5,183334.797,87.6812,24359.521,228322.875,777035.063,1789081.125,41883.762,141451.063
HFC-125,2032,244210.641,2635464,187467,93.9361,24163.102,220047.531,759510.875,1875952.75,40450.582,147016.438
HFC-125,2033,243021.813,2692207.25,191271.625,100.1916,23956.256,219065.563,743223.438,1948984.25,39162.516,152109.125
HFC-125,2034,235025.828,2743957.75,194277.891,106.4315,16971.203,218054.625,728017.313,2015940.5,37514.141,156763.734
HFC-125,2035,198999.078,2784705.5,194624.938,112.6166,16835.264,182163.828,707474.188,2077231.75,36034.988,158589.922
HFC-125,2036,193766.188,2789079.5,194629.813,118.6161,12359.634,181406.563,688274.438,2100805.5,34391.125,160238.703
HFC-125,2037,186056.141,2788216.25,194029.734,124.4193,12354.401,173701.734,666243,2121973.25,32912.145,161117.609
HFC-125,2038,185283.313,2780243,193475.438,130.0023,12349.112,172934.188,645685.188,2134557.5,31576.676,161898.75
HFC-125,2039,184830.797,2772050.5,192959.719,135.3746,12343.771,172487.031,626457.75,2145593,30366.633,162593.109
HFC-125,2040,150653.656,2763921.5,190129.375,140.5451,12338.382,138315.281,608434.875,2155486.75,29266.645,160862.734
HFC-125,2041,150603.5,2724446.25,187525.781,145.4052,12333.059,138270.438,591506.688,2132939.25,28263.494,159262.297
HFC-125,2042,143627.5,2687523.75,184522.313,149.9763,12327.699,131299.781,575576.063,2111947.25,27345.816,157176.469
HFC-125,2043,143562.859,2646628.75,181759.422,154.248,12322.279,131240.578,560558,2086070.625,26503.818,155255.578
