# File: A53.USA_elec_gen_CCS_EFs_water.csv
# Title: Emission factors (EFs) for carbon capture and storage (CCS) electric generation technologies
# Units: kt/PJ
# Source: Derived from Cost and Performance Baseline for Fossil Energy Plants Volume 1 Bituminous Coal and Natural Gas and Electricity (NETL Report October 2022)
# Description: Global emission factors for electric generation technologies with CCS
# Column types: ccccccnnnnnnnnc
# ---------
region,supplysector,nesting.subsector,subsector,stub.technology,Non.CO2,pcGDP_start_NSPS,NSPS_start_year,NSPS_em_coeff,pcGDP_start_retrofit,retrofit_start_year,retrofit_time,retrofit_vintage,retrofit_em_coeff,Notes and sources
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),PM2.5,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),PM2.5,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),PM2.5,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),PM2.5,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),BC,NA,2020,0.00002,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),BC,NA,2020,0.00002,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),BC,NA,2020,0.00002,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),BC,NA,2020,0.00002,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (once through),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All states,base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),PM10,NA,2020,0.003869288,NA,NA,NA,NA,NA,NA
