# File: A53.global_elec_gen_CCS_EFs.csv
# Title: Emission factors (EFs) for carbon capture and storage (CCS) electric generation technologies
# Units: kt/PJ
# Source: Derived from Cost and Performance Baseline for Fossil Energy Plants Volume 1 Bituminous Coal and Natural Gas and Electricity (NETL Report October 2022)
# Description: Global emission factors for electric generation technologies with CCS
# Column types: cccccnnnnnnnnc
# ---------
region,supplysector,subsector,stub.technology,Non.CO2,pcGDP_start_NSPS,NSPS_start_year,NSPS_em_coeff,pcGDP_start_retrofit,retrofit_start_year,retrofit_time,retrofit_vintage,retrofit_em_coeff,Notes and sources
All,electricity,coal,coal (conv pul CCS),SO2,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (conv pul CCS),NOx,NA,2020,0.031384227,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (conv pul CCS),BC,NA,2020,0.00002,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (conv pul CCS),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (conv pul CCS),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (conv pul CCS),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (IGCC CCS),SO2,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (IGCC CCS),NOx,NA,2020,0.021066125,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (IGCC CCS),BC,NA,2020,0.00002,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (IGCC CCS),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (IGCC CCS),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All,electricity,coal,coal (IGCC CCS),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All,electricity,gas,gas (CC CCS),SO2,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,gas,gas (CC CCS),NOx,NA,2020,0.001289763,NA,NA,NA,NA,NA,NA
All,electricity,gas,gas (CC CCS),BC,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,gas,gas (CC CCS),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,gas,gas (CC CCS),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All,electricity,gas,gas (CC CCS),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (conv CCS),SO2,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (conv CCS),NOx,NA,2020,0.03267399,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (conv CCS),BC,NA,2020,0.00075,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (conv CCS),OC,NA,2020,0.00329,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (conv CCS),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (conv CCS),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (IGCC CCS),SO2,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (IGCC CCS),NOx,NA,2020,0.021931856,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (IGCC CCS),BC,NA,2020,0.00059,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (IGCC CCS),OC,NA,2020,0.00256,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (IGCC CCS),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All,electricity,biomass,biomass (IGCC CCS),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All,electricity,refined liquids,refined liquids (CC CCS),SO2,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,refined liquids,refined liquids (CC CCS),NOx,NA,2020,0.00129,NA,NA,NA,NA,NA,NA
All,electricity,refined liquids,refined liquids (CC CCS),BC,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,refined liquids,refined liquids (CC CCS),OC,NA,2020,0,NA,NA,NA,NA,NA,NA
All,electricity,refined liquids,refined liquids (CC CCS),CO,NA,2020,0.025,NA,NA,NA,NA,NA,NA
All,electricity,refined liquids,refined liquids (CC CCS),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
