# File: A19.DairyBeef_curves.csv
# Title: Supply curves of DairyBeef
# Units: varied (see below)
# Description: maxSubResource (EJ/yr): maximum amount of DairyBeef production in the base year mid-price (1975$/GJ): price at which half of the maxSubResource is produced curve-exponent (unitless): shape parameter of S-surve supply function; gdpSupplyElast (unitless): maxSubResource elasticity of GDP
# Column types: iccnnnn
# ----------
GCAM_region_ID,resource,subresource,mid.price,curve.exponent,gdpSupplyElast,maxSubResource
1,DairyBeef,DairyBeef,1,1,0.588,0.1
2,DairyBeef,DairyBeef,1,1,0.588,0.1
3,DairyBeef,DairyBeef,1,1,0.588,0.1
4,DairyBeef,DairyBeef,1,1,0.588,0.1
5,DairyBeef,DairyBeef,1,1,0.588,0.1
6,DairyBeef,DairyBeef,1,1,0.588,0.1
7,DairyBeef,DairyBeef,1,1,0.588,0.1
8,DairyBeef,DairyBeef,1,1,0.588,0.1
9,DairyBeef,DairyBeef,1,1,0.588,0.1
10,DairyBeef,DairyBeef,1,1,0.588,0.1
11,DairyBeef,DairyBeef,1,1,0.588,0.1
12,DairyBeef,DairyBeef,1,1,0.588,0.1
13,DairyBeef,DairyBeef,1,1,0.588,0.1
14,DairyBeef,DairyBeef,1,1,0.588,0.1
15,DairyBeef,DairyBeef,1,1,0.588,0.1
16,DairyBeef,DairyBeef,1,1,0.588,0.1
17,DairyBeef,DairyBeef,1,1,0.588,0.1
18,DairyBeef,DairyBeef,1,1,0.588,0.1
19,DairyBeef,DairyBeef,1,1,0.588,0.1
20,DairyBeef,DairyBeef,1,1,0.588,0.1
21,DairyBeef,DairyBeef,1,1,0.588,0.1
22,DairyBeef,DairyBeef,1,1,0.588,0.1
23,DairyBeef,DairyBeef,1,1,0.588,0.1
24,DairyBeef,DairyBeef,1,1,0.588,0.1
25,DairyBeef,DairyBeef,1,1,0.588,0.1
26,DairyBeef,DairyBeef,1,1,0.588,0.1
27,DairyBeef,DairyBeef,1,1,0.588,0.1
28,DairyBeef,DairyBeef,1,1,0.588,0.1
29,DairyBeef,DairyBeef,1,1,0.588,0.1
30,DairyBeef,DairyBeef,1,1,0.588,0.1
31,DairyBeef,DairyBeef,1,1,0.588,0.1
32,DairyBeef,DairyBeef,1,1,0.588,0.1
