# File: A22.globaltech_coef.csv
# Title: Primary energy transformation technologies default coefficient assumptions
# Units: Unitless
# Column types: ccccnnn 
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2020,2100
gas processing,natural gas,natural gas,regional natural gas,1,1,1
gas processing,biomass gasification,biomass gasification,regional biomass energy sector,1.343,1.343,1.227
gas processing,coal gasification,coal gasification,regional coal,1.326,1.326,1.211
nuclearFuelGenII,enrichedUranium,enrichedUranium,uranium,0.002373172,0.002373172,0.002373172
nuclearFuelGenIII,enrichedUranium,enrichedUranium,uranium,0.002373172,0.002373172,0.002373172
refining,oil refining,oil refining,regional oil,1.055,1.055,1.02
refining,oil refining,oil refining,wholesale gas,0.018,0.018,0.018
refining,oil refining,oil refining,elect_td_ind,0.005,0.005,0.005
refining,coal to liquids,coal to liquids,regional coal,2.112,2.112,1.959
refining,coal to liquids,coal to liquids CCS level 1,regional coal,2.196,2.196,2.037
refining,coal to liquids,coal to liquids CCS level 2,regional coal,2.323,2.323,2.155
refining,gas to liquids,gas to liquids,regional natural gas,1.654,1.654,1.534
refining,biomass liquids,cellulosic ethanol,regional biomass energy sector,1.057,1.057,0.771
refining,biomass liquids,cellulosic ethanol,regional biomass liquids,1,1,1
refining,biomass liquids,cellulosic ethanol CCS level 1,regional biomass energy sector,1.139,1.139,0.842
refining,biomass liquids,cellulosic ethanol CCS level 2,regional biomass energy sector,1.263,1.263,0.948
refining,biomass liquids,cellulosic ethanol CCS level 1,regional biomass liquids,1,1,1
refining,biomass liquids,cellulosic ethanol CCS level 2,regional biomass liquids,1,1,1
refining,biomass liquids,FT biofuels,regional biomass energy sector,0.961,0.961,0.739
refining,biomass liquids,FT biofuels CCS level 1,regional biomass energy sector,1.039,1.039,0.809
refining,biomass liquids,FT biofuels CCS level 2,regional biomass energy sector,1.157,1.157,0.913
refining,biomass liquids,FT biofuels,regional biomass liquids,1,1,1
refining,biomass liquids,FT biofuels CCS level 1,regional biomass liquids,1,1,1
refining,biomass liquids,FT biofuels CCS level 2,regional biomass liquids,1,1,1
refining,biomass liquids,corn ethanol,regional corn for ethanol,1,1,1
refining,biomass liquids,corn ethanol,wholesale gas,0.318,0.318,0.318
refining,biomass liquids,corn ethanol,elect_td_ind,0.026,0.026,0.026
refining,biomass liquids,sugar cane ethanol,regional sugar for ethanol,1,1,1
refining,biomass liquids,biodiesel,regional biomassOil,1.0309,1.0309,1.03
refining,biomass liquids,biodiesel,wholesale gas,0.05767,0.05767,0.06
refining,biomass liquids,BTL with hydrogen,H2 industrial,0.816228052,0.816228052,0.816228052
refining,biomass liquids,BTL with hydrogen,regional biomass energy sector,0.031914894,0.031914894,0.031914894
refining,biomass liquids,BTL with hydrogen,regional biomass liquids,1,1,1
