year,scenario,vehicle_weight_category,vehicle_class,vehicle_powertrain,vehicle_detail,fuel_category,fuel2_category,metric,value,reference,,,
2023,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),4643.886309310859,"ANL, Autonomie (2023)",,,
2025,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),4059.786814173786,"ANL, Autonomie (2023)",,,
2030,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),3393.742978032179,"ANL, Autonomie (2023)",,,
2035,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),2741.640055,"ANL, Autonomie (2023)",,,
2040,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),2545.075877318017,"ANL, Autonomie (2023)",,,
2045,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),2431.964674145977,"ANL, Autonomie (2023)",,,
2050,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Battery Cost (2022$),2357.959657439702,"ANL, Autonomie (2023)",,,
2023,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",132.92732205738034,"ANL, Autonomie (2023)",,,
2025,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",120.58407072348078,"ANL, Autonomie (2023)",,,
2030,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",104.44289590222743,"ANL, Autonomie (2023)",,,
2035,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",94.94808718384313,"ANL, Autonomie (2023)",,,
2040,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",92.06497451202428,"ANL, Autonomie (2023)",,,
2045,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",88.91317052801311,"ANL, Autonomie (2023)",,,
2050,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,"Battery Cost (2022$/kWh) (pack-level, rated capacity)",85.45327846545881,"ANL, Autonomie (2023)",,,
2023,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),139.92466118263664,"ANL, Autonomie (2023)",,,
2025,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),143.15037660595965,"ANL, Autonomie (2023)",,,
2030,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),145.7936308,"ANL, Autonomie (2023)",,,
2035,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),146.51237711607166,"ANL, Autonomie (2023)",,,
2040,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),147.82584114278478,"ANL, Autonomie (2023)",,,
2045,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),148.2566226105215,"ANL, Autonomie (2023)",,,
2050,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Fuel Economy (mi/gge),148.54635962119178,"ANL, Autonomie (2023)",,,
2023,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Modeled Vehicle Price (2022$),21900.725789825254,"ANL, Autonomie (2023)",,,
2025,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Modeled Vehicle Price (2022$),20703.37621637112,"ANL, Autonomie (2023)",,,
2030,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Modeled Vehicle Price (2022$),19035.19251861687,"ANL, Autonomie (2023)",,,
2035,Conservative,Light Duty,Compact,Battery Electric,Battery Electric Vehicle (150-mile range),Electricity,,Modeled Vehicle Price (2022$),18339.97693110469,"ANL, Autonomie (2023)",,,
