# File: EIA_USA_energy_prices.csv
# Title: EIA_USA_energy_prices
# Source: Table ET5. Industrial Sector Energy Price and Expenditure Estimates by Source 1970-2018 United States; https://www.eia.gov/state/seds/data.php?incfile=/state/seds/sep_prices/ind/pr_ind_US.html&sid=US
# Units: Dollars per Million Btu
# Comments:  Industrial prices are used because these tend to be the lowest end-use prices.  Additional costs are added to GCAM's delivered gas / coal sectors to reflect the reality that building and transport gas prices are often higher.  
# Using a cross-sector average price (e.g. https://www.eia.gov/state/seds/data.php?incfile=/state/seds/sep_prices/total/pr_tot_US.html&sid=US) would tend to over-estimate costs because this average includes higher cost building and transportation supplies; GCAM represents these costs explicitly and separately.
# Column types: innnnn 
# ----------
Year,Coal_Total,Natural_Gas,Petroleum_Total,Biomass,Electricity_Retail_Sales
1970,0.45,0.38,0.98,1.66,2.99
1971,0.5,0.41,1.06,1.66,3.22
1972,0.55,0.46,1.06,1.67,3.4
1973,0.63,0.5,1.19,1.67,3.66
1974,1.22,0.67,2.26,1.67,4.95
1975,1.5,0.95,2.48,1.67,6.07
1976,1.5,1.21,2.59,1.67,6.48
1977,1.56,1.48,2.87,1.67,7.33
1978,1.73,1.66,2.98,1.68,8.18
1979,1.75,1.96,4.02,1.68,8.94
1980,1.87,2.52,5.79,1.67,10.81
1981,2.06,3.07,6.91,1.67,12.57
1982,2.09,3.8,6.58,1.67,14.51
1983,1.91,4.1,6.67,1.67,14.54
1984,1.89,4.13,6.66,1.67,14.16
1985,1.83,3.87,6.4,1.67,14.57
1986,1.72,3.2,5.04,1.65,14.45
1987,1.6,2.88,5.12,1.65,13.98
1988,1.62,2.9,4.77,1.65,13.78
1989,1.61,2.93,4.87,1.2,13.85
1990,1.62,2.95,5.73,0.99,13.92
1991,1.63,2.8,5.54,1.14,14.18
1992,1.62,2.91,5.17,1.13,14.18
1993,1.58,3.12,5.09,1.12,14.22
1994,1.57,3.09,5.18,1.15,14
1995,1.58,2.8,5.34,1.21,13.68
1996,1.57,3.3,6.18,1.01,13.49
1997,1.58,3.53,5.87,1.01,13.29
1998,1.53,3.16,4.65,1.24,13.13
1999,1.53,3.21,5.32,1.38,12.98
2000,1.5,4.6,7.57,1.43,13.6
2001,1.58,5.71,7.02,1.95,14.78
2002,1.69,4.48,6.68,2.11,14.3
2003,1.67,6.2,7.99,1.63,14.97
2004,1.92,7.02,9.55,1.79,15.38
2005,2.47,9.08,12.07,2.73,16.77
2006,2.72,8.77,14.47,2.65,18.02
2007,2.82,8.29,16.14,2.51,18.71
2008,3.38,10.06,20.93,2.83,20.34
2009,3.69,6.46,14.81,2.62,20.05
2010,3.93,6.17,18.22,2.67,19.89
2011,4.55,5.96,22.96,2.77,20.02
2012,4.59,4.91,20.79,2.63,19.6
2013,4.1,5.46,20.34,2.59,20.26
2014,3.74,6.36,20,3.14,20.86
2015,3.53,4.86,12.92,3.04,20.33
2016,3.15,4.27,11.28,2.94,19.91
2017,3.37,4.83,13.34,2.87,20.23
2018,3.53,4.85,15.53,2.63,20.36
