# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciiinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,adjust.year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_ccslink_create.xml,World,indCO2ccs90,,indCO2ccs90,,,,,1000,,,,,,,,,,,,,,,
policy_ccslink_create.xml,World,supCO2ccs26,,supCO2ccs26,,,,,1000,,,,,,,,,,,,,,,
policy_ccslink_create.xml,World,supCO2ccs82,,supCO2ccs82,,,,,1000,,,,,,,,,,,,,,,
policy_ccslink_create.xml,World,supCO2ccs88,,supCO2ccs88,,,,,1000,,,,,,,,,,,,,,,
policy_ccslink_create.xml,World,supCO2ccs90,,supCO2ccs90,,,,,1000,,,,,,,,,,,,,,,
policy_ccslink_create.xml,World,supCO2ccs92,,supCO2ccs92,,,,,1000,,,,,,,,,,,,,,,
policy_ccap_newref_mmeans.xml,World,afoluCO2,afolu2,afolu,,,,,813.6148533,683.7210571,541.1541713,398.5872856,256.0203998,113.4535141,,,,,,,,,,
policy_ccap_newref_mmeans.xml,World,bldCO2,,bld,,,,871.4489839,878.9022812,886.3555786,908.0371997,929.7188207,951.4004418,973.0820629,,,,,,,,,,
policy_ccap_newref_mmeans.xml,World,indCO2,indCCS,ind,,,,2989.417016,3094.438282,3199.459547,3283.934726,3368.409905,3452.885084,3537.360262,,,,,,,,,,
policy_ccap_newref_mmeans.xml,World,supCO2,sup,sup,,,,4190.250863,4057.871551,3925.49224,3910.428486,3895.364732,3880.300979,3865.237225,,,,,,,,,,
policy_ccap_newref_mmeans.xml,World,trnCO2,,trn,,,,2102.400908,2155.053373,2207.705839,2213.023973,2218.342106,2223.660239,2228.978373,,,,,,,,,,
policy_ccap_afolu_15_10pct.xml,World,afoluCO2,afolu2,afolu,,,,,182.6660437,-578.176562,-695.1073172,-812.0380724,-928.9688276,-1045.899583,,,,,,,,,,
policy_ccap_bld_15_10pct.xml,World,bldCO2,,bld,,,,,689.767637,508.0862901,419.0416451,329.997,240.952355,151.9077099,,,,,,,,,,
policy_ccap_ind_15_10pct.xml,World,indCO2,indCCS,ind,,,,,2425.668698,1861.920381,1509.318968,1156.717555,804.1161421,451.5147292,,,,,,,,,,
policy_ccap_sup_15_10pct.xml,World,supCO2,sup,sup,,,,,2647.120413,1103.989964,513.8135108,-76.36294216,-666.5393951,-1256.715848,,,,,,,,,,
policy_ccap_trn_15_10pct.xml,World,trnCO2,,trn,,,,,1736.55786,1370.714812,1158.330379,945.9459459,733.5615131,521.1770802,,,,,,,,,,
policy_ccap_newref_mmeans_luccor.xml,World,afoluCO2,,afolu,,,,,109.9271557,106.6167112,102.4207949,96.38572424,86.86306423,76.62860858,,,,,,,,,,
policy_ccap_newref_mmeans_luccor.xml,World,bldCO2,,bld,,,,871.4489839,878.9022812,886.3555786,908.0371997,929.7188207,951.4004418,973.0820629,,,,,,,,,,
policy_ccap_newref_mmeans_luccor.xml,World,indCO2,indCCS,ind,,,,2989.417016,3094.438282,3199.459547,3283.934726,3368.409905,3452.885084,3537.360262,,,,,,,,,,
policy_ccap_newref_mmeans_luccor.xml,World,supCO2,sup,sup,,,,4190.250863,4057.871551,3925.49224,3910.428486,3895.364732,3880.300979,3865.237225,,,,,,,,,,
policy_ccap_newref_mmeans_luccor.xml,World,trnCO2,,trn,,,,2102.400908,2155.053373,2207.705839,2213.023973,2218.342106,2223.660239,2228.978373,,,,,,,,,,
policy_ccap_afolu_15_10pct_luccor.xml,World,afoluCO2,afolu2,afolu,,,,,0,0,0,0,0,0,,,,,,,,,,
policy_ccap_bld_15_10pct_luccor.xml,World,bldCO2,bldluc,bld,,,,,0,0,0,0,0,0,,,,,,,,,,
policy_ccap_ind_15_10pct_luccor.xml,World,indCO2,indluc,ind,,,,,0,0,0,0,0,0,,,,,,,,,,
policy_ccap_sup_15_10pct_luccor.xml,World,supCO2,supluc,sup,,,,,0,0,0,0,0,0,,,,,,,,,,
policy_ccap_trn_15_10pct_luccor.xml,World,trnCO2,trnluc,trn,,,,,0,0,0,0,0,0,,,,,,,,,,
